epoch,mean_reward,avg_wait,r_morning,r_off,r_evening,pg_loss,v_loss
0,-2.4731481075286865,0.0,-2.440711462450593,-2.1944444444444446,-3.0186915887850465,-4.851071357727051,1906.4832763671875
1,-2.474074125289917,0.0,-2.3003048780487805,-2.75,-2.703125,-4.934704303741455,1981.762451171875
2,-2.4212963581085205,0.0,-2.1444444444444444,-2.975,0,-4.299099445343018,1740.6424560546875
3,-2.29537034034729,0.0,-2.3625,-2.161111111111111,0,-3.5947933197021484,1323.1435546875
4,-2.4666666984558105,0.0,-2.5605187319884726,-2.2527777777777778,-2.923076923076923,-4.212978363037109,1562.697998046875
5,-2.626851797103882,0.0,-2.5874769797421733,-2.325,-3.361581920903955,-4.976855754852295,2192.442626953125
6,-2.4666666984558105,0.0,-2.336594911937378,-2.3444444444444446,-2.9952153110047846,-3.209336042404175,1594.05908203125
7,-2.493518590927124,0.0,-2.179153094462541,-2.6805555555555554,-3.6792452830188678,-3.857286214828491,1583.439208984375
8,-2.46574068069458,0.0,-2.201388888888889,-2.9944444444444445,0,-3.5253703594207764,1354.31396484375
9,-2.370370388031006,0.0,-2.201388888888889,-2.7083333333333335,0,-2.7085742950439453,1113.0760498046875
10,-2.4731481075286865,0.0,-2.6083333333333334,-2.202777777777778,0,-3.004951238632202,1108.0469970703125
11,-2.487036943435669,0.0,-2.534959349593496,-2.2,-3.1904761904761907,-2.9975218772888184,1038.083984375
12,-2.4490740299224854,0.0,-2.4653465346534653,-2.1277777777777778,-2.9488372093023254,-1.6811281442642212,1001.0916748046875
13,-2.4388887882232666,0.0,-2.327205882352941,-2.286111111111111,-3.096590909090909,-2.648712396621704,971.9019775390625
14,-2.3953704833984375,0.0,-2.1374269005847952,-2.852777777777778,-2.7222222222222223,-2.0202860832214355,851.0843505859375
15,-2.461111068725586,0.0,-2.1902777777777778,-3.0027777777777778,0,-2.1609270572662354,1118.8587646484375
16,-2.366666555404663,0.0,-2.4611111111111112,-2.1777777777777776,0,-1.4792757034301758,863.3158569335938
17,-2.540740728378296,0.0,-2.7038123167155423,-2.1194444444444445,-3.6052631578947367,-1.9985367059707642,1113.936279296875
18,-2.5287036895751953,0.0,-2.4744801512287333,-2.3,-3.1099476439790577,-1.8466957807540894,924.63037109375
19,-2.344444513320923,0.0,-2.183752417794971,-2.2222222222222223,-2.9704433497536944,0.14728963375091553,838.09033203125
20,-2.334259271621704,0.0,-2.1200631911532386,-2.563888888888889,-2.942528735632184,-0.3290088474750519,580.0763549804688
21,-2.3203704357147217,0.0,-2.0972222222222223,-2.7666666666666666,0,-0.15690331161022186,681.4654541015625
22,-2.3203704357147217,0.0,-2.263888888888889,-2.433333333333333,0,0.044947173446416855,690.47314453125
23,-2.5092592239379883,0.0,-2.6444444444444444,-2.238888888888889,0,-0.9934500455856323,652.7921142578125
24,-2.4879629611968994,0.0,-2.602763385146805,-2.022222222222222,-3.2056737588652484,-0.45684614777565,791.1889038085938
25,-2.4407408237457275,0.0,-2.296078431372549,-2.236111111111111,-3.142857142857143,0.9097262024879456,1068.2191162109375
26,-2.3870370388031006,0.0,-2.2252100840336135,-2.388888888888889,-3.152,0.22805893421173096,546.523681640625
27,-2.433333396911621,0.0,-2.15,-3.0,0,0.4701683819293976,601.0184326171875
28,-2.21574068069458,0.0,-2.1902777777777778,-2.2666666666666666,0,1.1187046766281128,752.46240234375
29,-2.4962964057922363,0.0,-2.5680555555555555,-2.352777777777778,0,-0.1962919384241104,543.1854248046875
30,-2.4111111164093018,0.0,-2.464527027027027,-2.188888888888889,-2.7890625,0.13275769352912903,790.578125
31,-2.4314815998077393,0.0,-2.2893700787401574,-2.2194444444444446,-3.1320754716981134,1.4095910787582397,1008.2857666015625
32,-2.299999952316284,0.0,-2.0916808149405774,-2.4583333333333335,-2.801526717557252,0.712155282497406,699.6276245117188
33,-2.349074125289917,0.0,-2.0722222222222224,-2.9027777777777777,0,0.3719252943992615,690.263427734375
34,-2.293518543243408,0.0,-2.275,-2.3305555555555557,0,0.5723196268081665,612.378173828125
35,-2.4388887882232666,0.0,-2.5416666666666665,-2.2333333333333334,0,-0.11409921944141388,627.7529296875
36,-2.3888888359069824,0.0,-2.4361158432708687,-2.0861111111111112,-3.0,0.11000869423151016,748.59521484375
37,-2.392592668533325,0.0,-2.3128598848368522,-2.1638888888888888,-3.0150753768844223,1.0667742490768433,955.8471069335938
38,-2.274074077606201,0.0,-2.1449752883031303,-2.2666666666666666,-2.9911504424778763,0.44790348410606384,552.3109741210938
39,-2.290740728378296,0.0,-2.066666666666667,-2.738888888888889,0,0.1289137601852417,584.0744018554688
40,-2.277777671813965,0.0,-2.227777777777778,-2.3777777777777778,0,-0.07139591872692108,595.8981323242188
41,-2.450925827026367,0.0,-2.5569444444444445,-2.238888888888889,0,-1.1018868684768677,761.8286743164062
42,-2.4314815998077393,0.0,-2.5051194539249146,-2.138888888888889,-2.8955223880597014,-0.9471122622489929,717.1138916015625
43,-2.3435184955596924,0.0,-2.2791586998087956,-2.2222222222222223,-2.736040609137056,0.5514470338821411,817.0281982421875
44,-2.336111068725586,0.0,-2.1737012987012987,-2.5416666666666665,-2.5865384615384617,-0.6845642924308777,652.270263671875
45,-2.2601852416992188,0.0,-2.0430555555555556,-2.6944444444444446,0,-0.16280287504196167,521.6622314453125
46,-2.2962963581085205,0.0,-2.227777777777778,-2.433333333333333,0,-0.3362000584602356,443.7813720703125
47,-2.279629707336426,0.0,-2.313202247191011,-2.2083333333333335,-2.5,-0.6546448469161987,642.795654296875
48,-2.4166667461395264,0.0,-2.399638336347197,-2.1555555555555554,-3.035928143712575,-1.2920992374420166,900.34912109375
49,-2.3324074745178223,0.0,-2.2718446601941746,-2.1305555555555555,-2.8390243902439023,0.300913542509079,759.1728515625
50,-2.2879629135131836,0.0,-2.0634674922600618,-2.5527777777777776,-2.9594594594594597,-0.4645368158817291,539.3472900390625
51,-2.2861111164093018,0.0,-2.0388888888888888,-2.7805555555555554,0,-0.4084378182888031,614.7871704101562
52,-2.2018518447875977,0.0,-2.2916666666666665,-2.022222222222222,0,0.1009080708026886,627.8464965820312
53,-2.327777862548828,0.0,-2.4715568862275448,-1.975,-2.923076923076923,-0.43366527557373047,578.6876220703125
54,-2.316666603088379,0.0,-2.3429672447013488,-2.088888888888889,-2.656716417910448,1.0224953889846802,825.3317260742188
55,-2.2509260177612305,0.0,-2.0850661625708886,-2.1222222222222222,-2.9528795811518322,0.14447470009326935,617.8905029296875
56,-2.225925922393799,0.0,-2.086455331412104,-2.5,-2.1538461538461537,0.14140523970127106,546.4732055664062
57,-2.1925926208496094,0.0,-2.051388888888889,-2.475,0,-0.052479956299066544,616.7572021484375
58,-2.1824073791503906,0.0,-2.1666666666666665,-2.213888888888889,0,0.11566431075334549,515.9302368164062
